"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"RH5","SOMERSET NHS FOUNDATION TRUST",0.0136578119142038,0.0136578119142038,0
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST",0.0127434301203766,0.0127434301203766,0
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.0124663026558188,0.0124663026558188,0
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.0123266656875183,0.0123266656875183,0
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.012287753260918,0.012287753260918,0
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",0.0119390275142016,0.0119390275142016,0
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0110749801277739,0.0110749801277739,0
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0.0110603771004337,0.0110603771004337,0
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",0.0110429278558026,0.0110429278558026,0
"RR8","LEEDS TEACHING HOSPITALS NHS TRUST",0.00918730481310448,0.00918730481310448,0
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",0.00915075344723445,0.00915075344723445,0
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",0.0086679559664646,0.0086679559664646,0
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.00607932366934974,0.00607932366934974,0
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",0.00364424689650741,0.00364424689650741,0
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST",NA,NA,NA
